name,unit,category,current_stock,min_stock,max_stock,cost_per_unit
薑黃粉,個,未分類,0,0,0,0
紅糖,個,未分類,0,0,0,0
乳瑪琳,個,未分類,0,0,0,0
玉米粒,個,未分類,0,0,0,0
橄欖油,個,未分類,0,0,0,0
黑胡椒,個,未分類,0,0,0,0
雞粉,個,未分類,0,0,0,0
鹽,個,未分類,0,0,0,0
花生醬,個,未分類,0,0,0,0
蒜酥,個,未分類,0,0,0,0
沙拉油(大成),個,未分類,0,0,0,0
耐炸油(大成),個,未分類,0,0,0,0
熊貓蠔油,個,未分類,0,0,0,0
煉乳,個,未分類,0,0,0,0
紅葱醬,個,未分類,0,0,0,0
美極鮮味露,個,未分類,0,0,0,0
油蔥酥,個,未分類,0,0,0,0
白胡椒,個,未分類,0,0,0,0
脆酥粉(黏師傅),個,未分類,0,0,0,0
雀巢保久乳,個,未分類,0,0,0,0
地瓜粉,個,未分類,0,0,0,0
在來米粉,個,未分類,0,0,0,0
玉米粉,個,未分類,0,0,0,0
白砂糖,個,未分類,0,0,0,0
黑糖,個,未分類,0,0,0,0
草菇,個,未分類,0,0,0,0
檸檬,個,未分類,0,0,0,0
洋蔥,個,未分類,0,0,0,0
芋頭,個,未分類,0,0,0,0
鬼椒,個,未分類,0,0,0,0
青蔥,個,未分類,0,0,0,0
彩椒,個,未分類,0,0,0,0
香菇,個,未分類,0,0,0,0
紫地瓜,個,未分類,0,0,0,0
黃地瓜,個,未分類,0,0,0,0
菜脯,個,未分類,0,0,0,0
豆芽菜,個,未分類,0,0,0,0
蝦米,個,未分類,0,0,0,0
薑,個,未分類,0,0,0,0
青木瓜,個,未分類,0,0,0,0
鳳梨,個,未分類,0,0,0,0
小番茄,個,未分類,0,0,0,0
板豆腐,個,未分類,0,0,0,0
生菜(廣A),個,未分類,0,0,0,0
大陸妹,個,未分類,0,0,0,0
高麗菜,個,未分類,0,0,0,0
菜豆,個,未分類,0,0,0,0
紫高麗菜,個,未分類,0,0,0,0
蒜仁,個,未分類,0,0,0,0
小黃瓜,個,未分類,0,0,0,0
大辣椒,個,未分類,0,0,0,0
韭菜,個,未分類,0,0,0,0
香菜,個,未分類,0,0,0,0
龍骨,個,未分類,0,0,0,0
香茅,個,未分類,0,0,0,0
紅葱頭,個,未分類,0,0,0,0
花生,個,未分類,0,0,0,0
薄荷,個,未分類,0,0,0,0
鹹蛋,個,未分類,0,0,0,0
杏鮑菇,個,未分類,0,0,0,0
皮蛋,個,未分類,0,0,0,0
白靈菇,個,未分類,0,0,0,0
雞骨架,個,未分類,0,0,0,0
紅蘿蔔,個,未分類,0,0,0,0
小排,個,未分類,0,0,0,0
大蛤蜊,個,未分類,0,0,0,0
豆干,個,未分類,0,0,0,0
空心菜,個,未分類,0,0,0,0
南薑,個,未分類,0,0,0,0
魚露,個,未分類,0,0,0,0
辣椒膏,個,未分類,0,0,0,0
打抛粉,個,未分類,0,0,0,0
馬努拉蝦片,個,未分類,0,0,0,0
春捲皮,個,未分類,0,0,0,0
蝦醬,個,未分類,0,0,0,0
打拋粉,個,未分類,0,0,0,0
泰國茉莉香米,個,未分類,0,0,0,0
奶水,個,未分類,0,0,0,0
肉骨茶包,個,未分類,0,0,0,0
辣椒粉,個,未分類,0,0,0,0
手標紅茶粉,個,未分類,0,0,0,0
手標綠茶,個,未分類,0,0,0,0
夜巴濃辣椒油,個,未分類,0,0,0,0
椰奶(AROY-D),個,未分類,0,0,0,0
LEO啤酒,個,未分類,0,0,0,0
豆鼓王(仁何園-黃標),個,未分類,0,0,0,0
羅望子,個,未分類,0,0,0,0
黃咖喱(COCK),個,未分類,0,0,0,0
澱粉條505,個,未分類,0,0,0,0
打拋醬(花鐘),個,未分類,0,0,0,0
紅咖哩(有心),個,未分類,0,0,0,0
綠咖哩(有心),個,未分類,0,0,0,0
芫荽子,個,未分類,0,0,0,0
雞胸肉,個,未分類,0,0,0,0
翅小腿,個,未分類,0,0,0,0
翅中,個,未分類,0,0,0,0
去骨腿排,個,未分類,0,0,0,0
二節翅,個,未分類,0,0,0,0
松坂肉,個,未分類,0,0,0,0
帶皮豬頸肉絲,個,未分類,0,0,0,0
小油條脆薯,個,未分類,0,0,0,0
白蝦,個,未分類,0,0,0,0
透抽,個,未分類,0,0,0,0
經典青木瓜,個,未分類,0,0,0,0
調製打拋醬,個,未分類,0,0,0,0
舒肥沙爹咖喱雞,個,未分類,0,0,0,0
舒肥打拋雞,個,未分類,0,0,0,0
海南舒肥雞,個,未分類,0,0,0,0
薑黃雞胸肉,個,未分類,0,0,0,0
裝飾小菜,個,未分類,0,0,0,0
裝飾生菜(高麗菜),個,未分類,0,0,0,0
魚露炸腿,個,未分類,0,0,0,0
鹽味翅小腿,個,未分類,0,0,0,0
醃製豬頸肉,個,未分類,0,0,0,0
鮮蝦帕泰醬,個,未分類,0,0,0,0
河粉,個,未分類,0,0,0,0
打拋醬（TANAWAT),個,未分類,0,0,0,0
捲餅皮,個,未分類,0,0,0,0
醋,個,未分類,0,0,0,0
泰式辣椒醬,個,未分類,0,0,0,0
國寶茶,個,未分類,0,0,0,0
豬絞肉,個,未分類,0,0,0,0
牛肉片,個,未分類,0,0,0,0
檸檬葉,個,未分類,0,0,0,0
水,個,未分類,0,0,0,0
檸檬汁,個,未分類,0,0,0,0
雞蛋,個,未分類,0,0,0,0
咖啡豆,個,未分類,0,0,0,0
番茄胡,個,未分類,0,0,0,0
椰漿粉,個,未分類,0,0,0,0
番茄,個,未分類,0,0,0,0
味精,個,未分類,0,0,0,0
香茅粉,個,未分類,0,0,0,0
酸辣湯塊,個,未分類,0,0,0,0
竹筍,個,未分類,0,0,0,0
牛肉粉,個,未分類,0,0,0,0
檸檬葉,個,未分類,0,0,0,0
南薑,個,未分類,0,0,0,0
南薑乾,個,未分類,0,0,0,0
木耳,個,未分類,0,0,0,0
羊肉片,個,未分類,0,0,0,0
羅漢果,個,未分類,0,0,0,0
咖啡豆,個,未分類,0,0,0,0
糯米椒,個,未分類,0,0,0,0
青花菜,個,未分類,0,0,0,0
白花菜,個,未分類,0,0,0,0
牛柳,個,未分類,0,0,0,0
蘿蔓美生,個,未分類,0,0,0,0
仙草粉,個,未分類,0,0,0,0
義美小泡芙,個,未分類,0,0,0,0
杜老爺巧克力,個,未分類,0,0,0,0
九層塔,個,未分類,0,0,0,0
3/8脆薯,個,未分類,0,0,0,0
咖哩粉,個,未分類,0,0,0,0
鱸魚片,個,未分類,0,0,0,0
雞蛋豆腐,個,未分類,0,0,0,0
雞塊,個,未分類,0,0,0,0
玉米塊,個,未分類,0,0,0,0
嫩精,個,未分類,0,0,0,0
肋條肉,個,未分類,0,0,0,0
香茅乾,個,未分類,0,0,0,0
檸檬葉乾,個,未分類,0,0,0,0